PDGF_RECEPTOR_SIGNALING_NETWORK|5159	5154	56034	5156	5155	80310
SYNDECAN-3-MEDIATED_SIGNALING_EVENTS|4160	51107	1956	2534	5663	3576	5443	6714	1463	181	9672	55851	8573	5764	23385	83464	2017
BMP_RECEPTOR_SIGNALING|652	64750	4090	23645	6885	657	23118	56963	655	4089	654	57154	58190	285704	25928	10468	26585	4091	331	9765	5594	197	650	8021	4086	148738	4092	9350	9241	10217	25805	658	2932	10454	5499	6497	8646	91851	4093	659	10106	5494
A4B7_INTEGRIN_SIGNALING|3676	5829	3695	387	5747	3688	960	8174	7412
EPHRINA-EPHA_PATHWAY|2044	1946	2046	2043	1969	2042	285220	2045
CIRCADIAN_RHYTHM_PATHWAY|545	4862	8864	1454	8914	406	8553	1111	1408	9572	11091	1407	50514	9575	4841	5187
NOTCH-MEDIATED_HES-HEY_NETWORK|55502	4851	7291	5925	142	84441	3065	4602	9612	23462	3791	7528	9794	4654	2626	9611	256297	920	8648	23013	2623	367	429	3280	5932	7088	1827	23028	2690	632	3516	1027	817	1387	3397	860	2627	1869	3091	405	6929	2548	23493	1487	3717	6774	2033	50674
DEGRADATION_OF_BETA_CATENIN|4040	89780	8313	6500	8312	2932	23145	1856	1453	1855	8454	324	1499	2931	1454	1452	7855	1857
SHP2_SIGNALING|1956	4915	387	2773	3558	4909	3559	3570	3667	6654	284	1950	3458	4893	4846	5566	10818	7010	3561	4916	4914	3459	6772	5159	3479	2770	627	2909	5290	5781	3717	2885	5604	3560	4301	5155	3845	10817	55824	5295	6383	9846	3716	3845	3480	5894	8543	3932	3572	6464	3569	7422	3791	5605	2549	3265	3718	4908	4803
CANONICAL_NF-KAPPAB_PATHWAY|1540	7323	7128	4792	7514	10892	329	7189	64127	5578	5970	5901	7124	8517	4790	23145	3551	8767	8915	1147	472	23085	7132
ERBB2-ERBB3_SIGNALING_EVENTS|2064	5601	3717	5879	5295	5291	1145	6774	5781	3845	3265	5599	5594	5604	5566	2885	998	6714	572	5595	5605	85440	5290	9101	5602	2065	1134	4776	5532	3845	207	10193	2353	3725	9542	6464	4893	5296	3084	4771	5293	5894	2475	6654	8503
GLYPICAN_2_NETWORK|4192	221914
IL23-MEDIATED_SIGNALING_EVENTS|4792	3593	3558	2919	5295	3553	6772	7124	5970	7297	9021	4843	5290	149233	4283	11009	3675	6347	4790	29949	8807	3569	6776	8809	4353	242	6774	916	51561	3717	112744	6775	3605	3606	3594	3458	920
REGULATION_OF_RAS_FAMILY_ACTIVATION|5581	8437	6655	27342	2885	5923	5590	9610	3958	10235	3265	10156	808	153090	115727	4763	10125	5922	5921	5578	4893	25780	51196	5579	3956	3845	816	8831	3845	6237	5924	6654
REGULATION_OF_CDC42_ACTIVITY|55619	23263	9855	8874	139818	23348	23268	23229	9459	28964	7410	29127	2245	5335	396	392	8412	4830	324	25791	50618	4168	6453	10451	10928	57572	55114	115557	998	221178
GLYPICAN_3_NETWORK|5045	2252	6469	5601	2719	5727	652	5599
HIV-1_NEF-_NEGATIVE_EFFECTOR_OF_FAS_AND_TNF-ALPHA|317	7185	637	5599	1676	5609	156110	842	4217	1677	7186	1616	7132	8717	54205	919	9530	9020	841	355	839	835	5970	7124	356	836	596	840	1147	4790	8837	4792	8772	8738	8737	330
GLYPICAN_PATHWAY|221914	2817	2719
REGULATION_OF_RAC1_ACTIVITY|57572	55114	2059	5923	80243	5924	392	8874	1124	5879	6654	8997	1123	25791	221178	1793	9181	50619	9844	7410	396	29127	64333	10451	9459	613	7204	10006	4168	57580	29	115557	26230	5910	7074	1794	7409	10928
GMCSF-MEDIATED_SIGNALING_EVENTS|1438	7534	5295	4893	1439	5595	5605	5594	2353	9846	5567	6347	6777	5008	2885	5292	4067	1154	1437	3551	3845	6772	3265	6774	5566	5894	6464	6776	3845	5290	3717	5568	5781	3635	6850	5604	6654	3394
IL2_SIGNALING_EVENTS_MEDIATED_BY_STAT5|3558	2885	4609	3716	890	6667	3560	9846	6464	896	6654	5295	3561	596	6776	5551	598	4049	1997	356	894	1021	3932	5781	50943	3718	3565	6777	5290	3559
IL27-MEDIATED_SIGNALING_EVENTS|3595	10148	3553	3593	6772	6775	6774	2625	7297	6776	30009	3569	7124	3558	7040	3716	3592	9466	3458	3605	3717	3594	246778	6773	3606	3572
MTOR_SIGNALING_PATHWAY|84335	3845	23291	10670	6249	64798	898	5371	6198	5829	5594	79109	7532	29904	5338	5605	84271	8408	673	10891	1975	9776	7249	7534	27250	10971	1978	23145	6446	1977	3265	5578	664	9706	6195	7528	55615	5879	7533	5595	54205	5170	5894	1973	6720	58528	7248	387	3845	3551	57521	5604	253260	1017	6009	64223	64121	4893	54541	2810	54700	10325	2475	5337	9821	1938	207	7531	3667	7529
INSULIN_PATHWAY|50855	54536	2887	5584	3635	10640	11336	55763	5921	6464	23265	10603	867	10580	5170	3630	208	1978	8440	9322	3265	6654	2889	3643	4690	5770	55770	3667	5295	5781	1796	2309	60412	857	2885	207	6446	2888	6198	2151	1398	5590	23433	5786	5290
SIGNALING_EVENTS_MEDIATED_BY_HDAC_CLASS_II|7280	5905	9612	9734	10014	7529	2624	54880	54331	7531	51564	5903	8841	57763	2099	2908	79885	2782	5901	2623	7341	604	4208	6722	7329	10013	3320	83933	8625	156	7514	814	9759	10376
PAR4-MEDIATED_THROMBIN_SIGNALING_EVENTS|2782	10672	9630	2147	9475	4633	54331	5330	2151	2769	9002	2767	2776	387	6093
RAC1_SIGNALING_PATHWAY|10811	396	10152	5058	29127	10096	23396	3725	10163	1432	8395	10093	27035	3984	6416	1536	5599	10006	1072	6776	124056	10097	5608	5062	26999	128239	5601	10092	5609	5606	6774	10094	5330	1386	8826	1398	1495	10458	8936	4688	4296	653361	1499	55845	10787	394	999	8394	10109	9564	5879	10095	1535	4214
SIGNALING_MEDIATED_BY_P38-ALPHA_AND_P38-BETA|2005	1386	8569	10891	7867	8550	26959	7391	5868	1649	9252	4205	1977	1460	4286	22926	1457	1051	5743	2664	3315	1432	8986	3880	9261	466	3725	5600	4208	5321	1978	1385	1459	2099	7157	6548	3856	4843
PAR1-MEDIATED_THROMBIN_SIGNALING_EVENTS|2782	9138	2781	2776	5585	157	10672	6642	11214	2775	5579	7225	4846	9630	2771	6093	5578	5330	23236	408	2768	2773	5290	387	5582	5579	2149	1759	5580	4633	54331	5295	5331	9475	2769	2147	2770	7791	2151	1785	2767	6643	396	2775	7408
NECTIN_ADHESION_PATHWAY|4301	5797	5879	1495	3685	9076	7094	5906	5908	2889	5155	5818	50848	23396	7410	5817	999	5747	1499	5159	3690	9855	5819	25945	5295	6714	998	5290	1398	8826
GLUCOCORTICOID_RECEPTOR_REGULATORY_NETWORK|7533	2289	581	4312	3164	7433	5599	3569	3065	3458	5451	6772	632	2625	207	5567	6446	8851	3066	6777	1958	10499	6602	3565	2932	6613	5970	5536	7157	5443	3852	6776	6601	6597	2810	4193	6908	3383	1447	5595	9970	1437	4772	30009	1387	2033	3659	2288	2353	5601	3861	5602	4790	2908	51111	5617	1081	5087	5568	3320	5594	1432	7251	2266	6688	5600	6401	2908	8648	6599	3725	5566	5449	3567	2908	3872	174	1385	1026	3596	3576	3558	5106	1020
PLK3_SIGNALING_EVENTS|11200	995	898	1263	7157
ALK1_SIGNALING_EVENTS|2658	4086	4093	5595	659	857	90	3624	93	2022	1460	4089	5499	7040	409	7046	3397	7043	4090	7048	2280	92	3196	94	5594	4092
NEUROTROPHIC_FACTOR-MEDIATED_TRK_RECEPTOR_SIGNALING|25	5921	1399	3845	4909	5604	387	9844	6774	10755	4916	6654	3265	5906	4145	2549	1398	391	5584	5595	4914	998	9743	4804	9093	23327	9846	4908	5594	595	1759	9500	6014	1793	4893	4915	6016	5908	23263	6993	6464	25759	8878	5295	5781	5590	53358	4916	10287	25970	5290	3845	7074	30844	55179	4914	2885	5923	5879	10818	627	4803	10817	5335	2889
ALPHA9_BETA1_INTEGRIN_SIGNALING_EVENTS|5879	4843	3688	101	7422	9564	6714	3680	2162	2277	7424	3772	3371	6303	5829	196743	2335	6696	7052	2515	8038	7412	1438	8751	1437
TRAIL_SIGNALING_PATHWAY|8837	8503	8517	5594	6416	5291	5599	8797	8793	5595	8772	8794	8795	7818	8743	8717	843	3551	8737	841	6609	1147	4214	5296	5295	7186	5293	5290
CD40-CD40L_SIGNALING|7187	3718	5970	4214	83953	959	6776	7185	1432	3725	330	5601	5600	3565	958	5602	4609	207	5599	4790	722	598	7186	4792	51567	868	7128	7189	9020	329	6416
AURORA_B_SIGNALING|5501	9493	23397	151648	3925	6795	4638	10592	387	332	11004	4691	23468	55143	1731	7431	1674	55958	29127	6790	3619	5684	54888	9918	5921	90293	699	10403	10051	64151	9212	10112	6867	5528	5037	1058	3021	7813	8452	4869
LPA_RECEPTOR_MEDIATED_EVENTS|9564	5331	2773	2932	5970	5747	107	4067	113	5338	2768	2775	3265	196883	108	4792	4790	114	1956	23566	1902	260425	2846	147	2782	1398	5747	5580	3569	207	5335	7074	9138	9630	2767	9170	115	387	4318	2781	2775	5291	4313	5295	2770	2185	5581	5829	5587	2353	3576	2549	112	3725	5879	2771	111	10672	2776	4137	109	1839	836	2769	6714	54331	7205	9351
CXCR4-MEDIATED_SIGNALING_EVENTS|4318	8516	9146	5777	3679	3673	2781	5996	5879	5728	3123	5899	3685	5747	3932	3984	5788	5170	389	5330	23236	5781	388	7409	5908	55824	10399	6774	9525	5331	83737	2775	2268	4067	6773	1072	409	407	3678	5291	3676	2773	572	156	22801	10672	3122	54434	5058	2770	3635	387	8515	3655	6714	5747	916	54331	2775	146850	2782	6777	6387	1398	23533	5295	3680	5296	2870	3672	2185	1445	3055	919	27183	915	2771	9564	7852	640	5294	2475	5290	253260	2308	920	5829	3688	29979	6776	6772	8503	7525	5590	207	79109	64223	2534	917	5293	3675	998	1759	3717
TNF_RECEPTOR_SIGNALING_PATHWAY|7124	11183	6609	9530	7185	117584	10399	4790	6772	8439	4217	8717	23118	3551	5590	7128	9448	7186	8737	857	4215	5584	330	8517	841	1147	8772	6885	7295	8878	4214	8491	5871	6610	10454	5606	23043	203447	8567	5609	5970	6868	7133	1540	7132	329
E-CADHERIN_SIGNALING_EVENTS|1499	999	3728
PROTEOGLYCAN_SYNDECAN-MEDIATED_SIGNALING_EVENTS|9672	6385	6382	6383
ERBB1_DOWNSTREAM_SIGNALING|1843	3845	5337	5580	5518	5599	5290	2059	1956	10746	2002	3265	10787	10458	5037	10163	2885	3845	10971	9610	1386	6772	7533	673	5590	5515	5868	5894	9712	1950	5879	572	1385	8503	26999	5578	9047	5520	5296	598	4086	5595	5601	10006	4214	5898	5605	10095	10097	7532	7529	378	6714	8826	6548	55845	3725	5338	5170	1848	6654	207	2549	4893	7410	1958	4208	5900	8986	2151	5607	2475	10094	5536	7531	466	808	5594	10093	998	824	5598	64223	6774	8844	5295	10109	253260	2810	7538	81624	9252	10096	6197	6194	8976	6722	5604	79109	2353	6416	1124	7534	5293	5291	10092	29895
VALIDATED_NUCLEAR_ESTROGEN_RECEPTOR_ALPHA_NETWORK|135112	5458	8543	322	1051	8431	11331	2099	9759	4089	286827	408188	63977	64714	79039	3065	57658	80781	9611	190	1509	21	2100	8202	9612	9040	5617	7494	8313	6647	5111	9166	5241	8204	3298	4350	4731	4738	672	5457	6418	8125	84458	2033	6776	1147	3725	10521	7031	10499	6294	1826	9112	5241	10011	5469	3823	9687	9039	595	522	8648	718	162	3732	4609
VALIDATED_TARGETS_OF_C-MYC_TRANSCRIPTIONAL_REPRESSION|728340	10397	84233	7709	3956	5159	4149	5524	1385	3394	7249	1788	3158	2309	6422	57447	6908	3655	6667	5933	4609	672	9414	1050	3398	2495	3065	1052	8837	6352	1030	22943	4801	4087	6278	4088	4802	4089	223	6556	596	2033	7812	7474	1278	1791	1647	1026	4800	2064	1649	677	10608	1027	6688	3688	3691	23671	2672	1191	81855	595	8841
CDC42_SIGNALING_EVENTS|396	5337	81624	5599	2151	324	10188	2475	5606	5290	2059	5581	5062	7074	8476	7410	1495	388585	6198	5594	55740	4633	6714	3984	5601	10097	9564	9459	128239	8874	5595	10092	5590	1386	10298	6416	10095	8976	10094	5608	5058	3725	5879	2932	4296	999	7525	673	5923	4214	50855	10109	1739	10096	1499	5894	5080	3985	5295	10093	5609	3265	998	1072	1432	10458	8826	4735	867	23265
INSULIN-MEDIATED_GLUCOSE_TRANSPORT|6517	5590	7532	207	3643	4012	2810	7531	5584	7529	6810	7534	2997	5506	9882	23433	3630	10971	9322	2932	208	6844	252983	434	808	5501	7533
VEGF_AND_VEGFR_SIGNALING_NETWORK|2321	7422	5228	7422	5228	2277	8828	7422	7422	3791	2324	7422	7423	8829	7423	7422	7424
SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_(C-MET)|999	4690	3265	5594	10048	5604	867	10298	5335	5770	200958	57610	5062	2885	4214	5170	64798	6416	1958	5295	50649	5584	2060	5058	5781	5868	1398	998	387	572	64223	3725	8650	2475	3082	6464	208	207	5747	3837	6714	1977	8440	3636	5595	382	6456	2889	1499	5599	1399	3635	5605	5906	9846	5290	5879	5908	8976	324	5771	5795	6654	5590	4233	57521	6615	9564	84335	9146	54453	1495	2151	1978	5894	2549	2113	5829	30011	50855
GLYPICAN_1_NETWORK|640	6714	7043	3084	2268	2247	5320	3055	7422	7042	7046	2260	7525	7040	284217	4067	7422	351	7048	3932	9353	4087	2534	462	2817	5621	6997	2321
VALIDATED_TARGETS_OF_C-MYC_TRANSCRIPTIONAL_ACTIVATION|4609	581	7083	4088	6880	10856	3159	4691	8886	10524	2023	5213	993	1871	10935	4953	5757	6615	2648	5274	3320	4318	4149	389421	4869	4830	7015	6135	5292	6881	3329	8607	648	6513	6883	332	586	3811	9913	6875	3939	8295	3658	7157	790	92140	8061	57678	4089	2597	3308	8464	1019	2033	661	6470	1387	894	23089	3398	1981	4683	80177	11235	84864	91942	5366	10075	86	1104	654364	891	83879	7343	7037	1973	1977	9112	1965
DOWNSTREAM_SIGNALING_IN_NAIVEF	VE_CD8+_T_CELLS|4893	917	3105	5579	3443	926	5551	7293	3560	5605	3558	1958	3451	3002	3441	356	6775	5530	3265	1961	925	5581	7124	4772	8061	5532	2002	3442	3458	3455	3725	3561	5588	3845	5894	3604	5534	4773	5595	5599	2353	3845	5594	915	3452	4775	3440	3454	916	5601	3449	919	3726	3448	808	673	3447	5604	5778	8320	5578	3446	3444	3559	8784	567	3445
POLO-LIKE_KINASE_SIGNALING_EVENTS_IN_THE_CELL_CYCLE|10769	10733	1263	5347
IL8-_AND_CXCR1-MEDIATED_SIGNALING_EVENTS|3577	3055	5579	2782	5170	5868	5578	867	146850	5330	156	23236	4067	5582	5579	2771	2769	5337	409	1759	5331	5581	54331	2268	9630	5294	3576	207	408
FC-EPSILON_RECEPTOR_I_SIGNALING_IN_MAST_CELLS|6654	3725	2885	8611	1796	5295	4067	3265	5921	5604	5783	207	5595	5321	5894	5062	5319	5579	2213	695	7462	3059	2534	5594	5970	9846	1843	8877	3497	1147	3635	868	1901	4214	5781	3937	10219	3551	2205	2206	2207	6850	7409	2241	7456	3702	5290	5609	867	4773	6464	5605	5599	5747	27040	5338	6416	4790	2353	5829	8517	5335
VISUAL_SIGNAL_TRANSDUCTION-_RODS|9187	2779	6295	6121	5158	5145	5959	1258	6011	9227	2782	145226	2978	5148	1259	2792	2986	9626	388531	6010	3000	2979	10681	8787
INTEGRIN_FAMILY_CELL_SURFACE_INTERACTIONS|3674	3679	3675	8516	3678	3688	3682	3683	3684	3693	3696	22801	3691	3676	3655	3673	8515	3672	3681	3689	3690	3679	3685	3694	3695	3679	3680	3676	3687
INTERNALIZATION_OF_ERBB1|6464	5295	273	6714	6453	6464	7322	5291	10253	5293	3265	7251	57732	1759	5894	5296	8503	3845	5747	8867	4893	6654	30011	29924	5290	2060	7323	10617	1956	8874	9146	5868	3845	867	26018	868	998	1950	7321	2885	6456	51652	2060	9101
NETRIN-MEDIATED_SIGNALING_EVENTS|9423	5747	8976	998	116986	7204	5335	2534	4690	8633	5058	9564	219699	5595	5306	7525	5879	4651	815	5605	5295	1630	1793	387	5290	4131	9844	5604	1612	5594	90249	6714
FANCONI_ANEMIA_PATHWAY|79728	29089	23145	3364	6118	55120	57697	23291	80233	672	5884	91442	5883	2177	11073	84126	2189	2176	1111	378708	4361	675	5983	7517	2178	55215	2188	22909	7156	2175	2187	5810	472	83990	5984	3014	10111	545	6117	4683	641	5985	80010	3280	7398	57599	5982
N-CADHERIN_SIGNALING_EVENTS|1500	1000	2260	2934	808	5290	2891	8312	2017	5599	23396	747	2596	5295	1499	2697	2241	998	5879	4633	4041	22919	5335	1268	1639	6093	5770	1495	221955	3728	3799	818	387	5781
CALCINEURIN-REGULATED_NFAT-DEPENDENT_TRANSCRIPTION_IN_LYMPHOCYTES|1390	1493	5743	5588	836	1958	3458	8061	3576	1959	5468	4773	4775	1960	7091	3567	3725	2635	808	3565	5451	30009	1019	2353	1437	6520	3558	4772	3662	55509	356	7124	50943	3559	5796	1961	1606	3726	1869	4772	79589	10320	3562	5770	4094	2625	83737	868	959
VALIDATED_TRANSCRIPTIONAL_TARGETS_OF_TAP63_ISOFORMS|2033	2319	6604	9618	8626	5366	26155	667	3551	5371	5268	182	83737	91768	9518	1026	64782	2232	9635	3486	1029	8626	25	7022	2877	8626	10971	8626	3675	27113	1647	5347	1959	23405	23145	7421	6667	1728	3691	4968	581	5580	355	4240	64065	100	2125	6469	11059	6749	9540	1147	26959	4193	132671	9249	6273
COREGULATION_OF_ANDROGEN_RECEPTOR_ACTIVITY|207	5074	3178	2185	8031	1021	2274	58190	2934	354	3817	672	8204	6840	10451	1499	841	10106	10048	10498	984	26060	3092	9039	7113	4824	10499	1029	6197	51588	55818	5036	23081	5469	2288	595	7337	7110	5052	8554	2547	896	26524	7329	7050	24149	7520	27043	146225	23028	5591	6722	8926	7041	57178	23598	367	4117	10401	23054	6925	24149
IL12_SIGNALING_MEDIATED_BY_STAT4|3558	3659	940	3559	5601	5599	919	5532	8809	8807	941	5534	3596	30009	3458	3123	3725	3606	1387	9063	3122	7040	917	916	920	942	915	5551	2353	6775	6774	5530	2119
S1P1_PATHWAY|5335	387	3791	2775	5743	5594	1901	7422	3685	8877	2775	5879	3690	2781	5330	5159	4363	2771	5155	2773	5595	2770
ENDOGENOUS_TLR_SIGNALING|3146	1462	633	148022	7098	51135	10333	7099	7096	3551	1147	6288	3329	653509	929	8517	23643	6280	6279	114609	3654	4615	3656	387	7097
SIGNALING_EVENTS_MEDIATED_BY_FOCAL_ADHESION_KINASE|50807	11099	3725	5906	23092	5335	23162	3678	824	6416	64283	5879	2886	8976	9844	9815	5829	5295	7525	2889	6654	2534	8440	7414	6714	673	5921	660	58	5908	1793	3688	5747	5894	7094	87	4323	5058	5601	5599	5290	3685	2885	4690	9826	2909	387	3693	595	5604	5594	2113	1398	11279	6237	8874	9564	9475	6455
BETA5_BETA6_BETA7_AND_BETA8_INTEGRIN_CELL_SURFACE_INTERACTIONS|7448	8174	6382	3694	2335	10085	3676	7412	5329	3693	3491	3676	3695	3685	3696	2200	5328	7046
REGULATION_OF_TELOMERASE|5810	6198	2099	3659	1027	1956	5594	80119	23381	7014	472	7531	4683	3558	2353	7015	7337	57169	7486	7490	3066	5931	1869	10111	4790	4609	10728	5928	5595	4361	7026	23309	1950	6670	3725	4084	3364	4088	4149	3320	595	25913	8658	54984	4691	2475	7013	641	10284	1736	65057	26277	7520	6667	207	3458	1489078	3065	2547	3183	3455	7015	7040	25	5883	25942	10038	54386	23293	8819
CLASS_I_PI3K_SIGNALING_EVENTS|3845	9267	375	59338	29760	7525	3932	27071	5291	146850	5336	2534	27040	59339	5906	640	5728	6850	3055	5290	6446	381	3702	3265	9265	382	5879	5294	6714	5295	3320	387	3635	64411	5296	7535	5335	3845	3636	2268	9266	5293	23533	695	5170	4067	2309	4893	8503	11033
BCR_SIGNALING_PATHWAY|8517	8915	29760	5788	3265	55824	5530	7410	930	4793	27071	5921	597	5170	2885	1796	973	5777	6654	5728	5595	207	1147	971	5599	5290	5533	11184	7189	118788	3551	4067	6885	84433	4772	4790	808	1457	5295	5532	818	3635	2113	933	2213	9467	4214	5594	5604	3725	5970	25998	1445	4792	6850	2002	10892	6464	5336	2353	5452	1432	974	5879	5894	695
SIGNALING_EVENTS_MEDIATED_BY_TCPTP|3082	1387	3838	5296	5290	5770	2885	5159	5293	3791	1436	5610	5771	5295	5155	1435	5771	3718	1950	8554	3672	5867	3630	6464	6774	3998	6714	7422	5291	2549	3688	3716	6772	3837	6776	3643	6654	4233	6778	6777	1956	8503	83939	545
RETINOIC_ACID_RECEPTORS-MEDIATED_SIGNALING|5915	6257	6258	902	5916	983	5582	5914	207	8648	8202	7421	5915	5578	5916	6256	1022	5599	5914	2033	5915	1432	1387	5566	4331	9612	5947	5594	6257	5595	8841	8204	10499	5914	5915	8850	3065
VALIDATED_TRANSCRIPTIONAL_TARGETS_OF_DELTANP63_ISOFORMS|11059	3084	7421	55294	11047	3675	4851	675	10413	9133	2355	252983	4193	5525	8626	1289	1052	3070	3486	5452	1029	1749	3280	7153	8626	624	8626	23682	6236	2194	6862	83439	8626	1750	472	26959	2810	3861	10399	83737	64065	3852	1029	3552	558	2877	2932	100	861	23541	4361
BETA1_INTEGRIN_CELL_SURFACE_INTERACTIONS|3675	3680	1286	93185	1289	1301	3679	975	4811	7448	7045	5328	3912	1282	3688	1294	3910	284217	3678	1292	3679	7058	5329	1280	1287	8515	1277	3908	1290	6696	80781	3915	3676	1285	7412	929	1281	7057	22801	1278	3918	3909	1464	2243	1291	3914	2200	4192	2335	3672	7422	3685	1288	3911	2244	1293	7052	3688	2162	3673	3913	58494	2266	3655	1302	3371	8516	3679	255743
THROMBOXANE_A2_RECEPTOR_SIGNALING|6915	5578	156	8766	2782	9630	9138	4067	5581	2268	387	5879	7412	640	5588	5580	2776	1956	5590	5566	5729	6915	6401	1432	2768	207	2771	7052	4846	23533	6093	9368	5294	5330	6714	6850	7525	146850	1759	3383	3932	407	5583	54331	2534	5579	5592	157	5600	3055	2767	5739	10681	5582	2769	10672	5579	409	1950
AP-1_TRANSCRIPTION_FACTOR_NETWORK|3558	2355	573	3458	4097	7054	1758	3565	6347	4878	3491	1843	6667	2167	3726	7040	1997	3586	2354	467	2113	2908	6934	23373	1437	3091	58	1386	4609	3727	5179	8061	1027	1906	2353	3567	4922	2033	9988	2697	3725	10987	1278	2908	865	3105	595	2624	3576	983	7076	4773	4094	7157	4775	3569	5328	10018	4318	7205	4502	1385	4602	4312	5728	1499	2099	4772	1029	183	1958
PLK1_SIGNALING_EVENTS|1062	9475	5347	995	147841	701	23291	3796	387	5518	54821	983	63967	10726	6790	4957	994	26271	2801	891	10403	10112	51343	23145	5500	5515	55857	3619	7283	79682	1894	7178	7465	22981	4659	151648	151648	5058	991	79866	22974	64689	10735	9055	8555	5861	699
IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K|5295	4609	5879	9846	4790	5781	259230	5970	3932	4602	2475	8661	6198	3558	596	3559	5590	3561	3560	2309	598	6194	808	6654	3718	6464	5290	3320	2885	207	1869	7015	6609	3716	7357
TCR_SIGNALING_IN_NAIVEF	VE_CD8+_T_CELLS|84876	3845	1445	8517	5906	3937	2534	941	9020	27040	867	7409	5170	942	3105	7535	55824	207	10892	925	7189	1147	917	5335	84433	1326	3845	926	5777	4893	3551	919	3932	27040	6464	5579	567	10235	83593	916	940	6654	5551	10125	9402	8915	3265	5581	5588	55503	6786	5578	915	5788	2885
REELIN_SIGNALING_PATHWAY|7804	3675	867	5599	4131	5609	8440	4137	5295	1399	9181	4043	2932	7436	2889	1600	8851	207	4296	3688	5649	5906	5290	1020	9479	2534	2904	5048	2903
REGULATION_OF_CYTOPLASMIC_AND_NUCLEAR_SMAD2-3_SIGNALING|4089	5595	3838	5494	808	10217	4214	9972	4088	8021	5594	51588	7329	10106	58190	9392	4087	3837
SIGNALING_BY_AURORA_KINASES|9212	6795	6790
S1P3_PATHWAY|5155	2771	9630	2775	2775	2769	2768	207	6714	7422	3685	5594	5159	2321	10000	3690	1903	2776	7852	9294	2767	3717	2773	5595	10672	1901	2781	2770	5879	387
SYNDECAN-1-MEDIATED_SIGNALING_EVENTS|1278	3082	1301	1300	1297	4233	1308	5479	1285	7040	1287	4318	1281	1307	1289	3911	1305	1296	1290	6386	1286	1288	7373	5566	1291	5595	6352	10855	1298	5594	1280	1277	4316	1299	1302	1294	1282	4312	1293	6382	1303	1292	1306	682	8573	1295
BARD1_SIGNALING_EVENTS|5591	2176	2178	11073	4869	2177	10111	545	4683	2175	5888	2130	472	4361	672	2188	5111	7157	7520	2547	580	7332	7323	898	55120	2313	1017	2189	1477	5932
AMB2_INTEGRIN_SIGNALING|3684	6404	5906	5328	4790	4018	5340	6403	4620	338	3383	4067	207	7124	4486	1490	2534	6093	7094	4485	3689	7070	387	6714	4313	3569	3055	5329	83700	5908	640	4035	4318	177	58494	3146	3932	5590	7525	2268	5327
FOXA_TRANSCRIPTION_FACTOR_NETWORKS|3170	3171	3169
FOXA1_TRANSCRIPTION_FACTOR_NETWORK|7031	3171	5451	1826	725	6441	7026	7494	6667	7356	4774	653509	2641	6469	1562	4782	5265	162	6647	522	367	8204	3170	3630	1387	3725	354	1051	672	3169	7448	2353	8202	1027	338	2099	80781	729238	23761	2033	63977	4781	4824	4731
